English,Vietnamese,Description,Categories
doctor,bác sĩ,medical professional,Health & Emergencies
hospital,bệnh viện,for medical care,Health & Emergencies
medicine,thuốc,what you take when sick,Health & Emergencies
sick,ốm,feeling unwell (northern),Health & Emergencies
pain,đau,it hurts,Health & Emergencies
help!,cứu với!,call for help,Health & Emergencies
pharmacy,nhà thuốc,buy medicine here,Health & Emergencies
fever,sốt,high temperature,Health & Emergencies
headache,đau đầu,pain in the head,Health & Emergencies
emergency,khẩn cấp,urgent situation,Health & Emergencies
police,cảnh sát,law enforcement,Health & Emergencies
I need a doctor,tôi cần bác sĩ,asking for help,Health & Emergencies
