English,Vietnamese,Description,Categories
money,tiền,cash or funds,Shopping & Money
how much?,bao nhiêu tiền?,asking the price,Shopping & Money
expensive,đắt,high price (northern),Shopping & Money
cheap,rẻ,low price,Shopping & Money
to buy,mua,the verb to buy,Shopping & Money
to sell,bán,the verb to sell,Shopping & Money
shop,cửa hàng,a store,Shopping & Money
market,chợ,traditional market,Shopping & Money
to pay,thanh toán,settle the bill,Shopping & Money
discount,giảm giá,price reduction,Shopping & Money
cash,tiền mặt,physical money,Shopping & Money
receipt,hóa đơn,proof of purchase,Shopping & Money
